R;G;B;Rain Rate (mm/h)
54;54;54;0.0003
55;55;55;0.0004
56;56;56;0.0005
57;57;57;0.0005
58;58;58;0.0006
59;59;59;0.0007
60;60;60;0.0009
61;61;61;0.001
62;62;62;0.0012
63;63;63;0.0014
64;64;64;0.0016
65;65;65;0.0018
66;66;66;0.0022
67;67;67;0.0025
68;68;68;0.0029
69;69;69;0.0034
70;70;70;0.004
71;71;71;0.0046
72;72;72;0.0054
73;73;73;0.0063
74;74;74;0.0073
75;75;75;0.0086
76;76;76;0.01
87;87;87;0.0116
97;97;97;0.0136
108;108;108;0.0158
118;118;118;0.0184
129;129;129;0.0215
139;139;139;0.0251
150;150;150;0.0292
160;160;160;0.0341
171;171;171;0.0397
181;181;181;0.0463
192;192;192;0.054
0;50;255;0.063
0;70;255;0.0734
0;90;255;0.0856
0;110;255;0.0998
0;130;255;0.1164
0;150;255;0.1357
0;170;255;0.1582
0;128;0;0.1845
0;138;0;0.2151
0;148;0;0.2508
0;158;0;0.2924
0;163;0;0.3409
0;168;0;0.3975
0;173;0;0.4634
0;178;0;0.5403
10;208;10;0.63
10;218;10;0.7345
10;228;10;0.8563
10;238;10;0.9984
10;248;10;1.1641
255;255;15;1.3572
255;246;15;1.5824
255;238;15;1.8449
255;229;15;2.151
255;220;15;2.5079
255;200;0;2.924
255;180;0;3.4092
255;160;0;3.9748
255;140;0;4.6343
255;120;0;5.4031
255;35;35;6.2996
255;15;15;7.3448
255;0;0;8.5634
235;0;0;9.9842
215;0;0;11.6407
195;0;0;13.5721
175;0;0;15.8239
155;0;0;18.4493
135;0;0;21.5103
115;0;0;25.0792
175;0;175;29.2402
184;0;184;34.0915
193;0;193;39.7478
202;0;202;46.3426
211;0;211;54.0315
219;0;219;62.9961
228;0;228;73.448
237;0;237;85.6341
246;0;246;99.842
255;0;255;116.4072
0;255;255;135.7209
13;255;255;158.2389
26;255;255;184.493
39;255;255;215.1031
51;255;255;250.7918
64;255;255;292.4018
77;255;255;340.9154
90;255;255;397.4782
102;255;255;463.4256
115;255;255;540.3146
128;255;255;629.9605
141;255;255;734.48
154;255;255;856.3409
166;255;255;998.4201
179;255;255;1164.0724
192;255;255;1357.2088
